year,rating,min_total_score,min_avg_score,description
1998,Excellent,170,28.3,Excellent game that will be highly praised!
1998,Notable,155,25.8,A notable release that will get attention!
1998,Good,140,23.3,A good solid game that players will enjoy!
1998,Fun,125,20.8,A fun game that will find its audience!
1998,Decent,110,18.3,A decent effort with some good moments.
1998,Meh,95,15.8,Meh... It's playable but forgettable.
1998,Poor,0,0.0,Poor execution. Back to the drawing board.
2000,Masterpiece,220,36.7,An absolute masterpiece! This game will be remembered for decades!
2000,Legendary,205,34.2,A legendary achievement in game development!
2000,Outstanding,190,31.7,Outstanding work! This game sets new standards!
2000,Excellent,175,29.2,Excellent game that will be highly praised!
2000,Notable,160,26.7,A notable release that will get attention!
2000,Good,145,24.2,A good solid game that players will enjoy!
2000,Fun,130,21.7,A fun game that will find its audience!
2000,Decent,115,19.2,A decent effort with some good moments.
2000,Meh,100,16.7,Meh... It's playable but forgettable.
2000,Poor,0,0.0,Poor execution. Back to the drawing board.
2002,Masterpiece,225,37.5,An absolute masterpiece! This game will be remembered for decades!
2002,Legendary,210,35.0,A legendary achievement in game development!
2002,Outstanding,195,32.5,Outstanding work! This game sets new standards!
2002,Excellent,180,30.0,Excellent game that will be highly praised!
2002,Notable,165,27.5,A notable release that will get attention!
2002,Good,150,25.0,A good solid game that players will enjoy!
2002,Fun,135,22.5,A fun game that will find its audience!
2002,Decent,120,20.0,A decent effort with some good moments.
2002,Meh,105,17.5,Meh... It's playable but forgettable.
2002,Poor,0,0.0,Poor execution. Back to the drawing board.
2004,Masterpiece,230,38.3,An absolute masterpiece! This game will be remembered for decades!
2004,Legendary,215,35.8,A legendary achievement in game development!
2004,Outstanding,200,33.3,Outstanding work! This game sets new standards!
2004,Excellent,185,30.8,Excellent game that will be highly praised!
2004,Notable,170,28.3,A notable release that will get attention!
2004,Good,155,25.8,A good solid game that players will enjoy!
2004,Fun,140,23.3,A fun game that will find its audience!
2004,Decent,125,20.8,A decent effort with some good moments.
2004,Meh,110,18.3,Meh... It's playable but forgettable.
2004,Poor,0,0.0,Poor execution. Back to the drawing board.
2006,Masterpiece,235,39.2,An absolute masterpiece! This game will be remembered for decades!
2006,Legendary,220,36.7,A legendary achievement in game development!
2006,Outstanding,205,34.2,Outstanding work! This game sets new standards!
2006,Excellent,190,31.7,Excellent game that will be highly praised!
2006,Notable,175,29.2,A notable release that will get attention!
2006,Good,160,26.7,A good solid game that players will enjoy!
2006,Fun,145,24.2,A fun game that will find its audience!
2006,Decent,130,21.7,A decent effort with some good moments.
2006,Meh,115,19.2,Meh... It's playable but forgettable.
2006,Poor,0,0.0,Poor execution. Back to the drawing board.
2008,Masterpiece,240,40.0,An absolute masterpiece! This game will be remembered for decades!
2008,Legendary,225,37.5,A legendary achievement in game development!
2008,Outstanding,210,35.0,Outstanding work! This game sets new standards!
2008,Excellent,195,32.5,Excellent game that will be highly praised!
2008,Notable,180,30.0,A notable release that will get attention!
2008,Good,165,27.5,A good solid game that players will enjoy!
2008,Fun,150,25.0,A fun game that will find its audience!
2008,Decent,135,22.5,A decent effort with some good moments.
2008,Meh,120,20.0,Meh... It's playable but forgettable.
2008,Poor,0,0.0,Poor execution. Back to the drawing board.
2010,Masterpiece,245,40.8,An absolute masterpiece! This game will be remembered for decades!
2010,Legendary,230,38.3,A legendary achievement in game development!
2010,Outstanding,215,35.8,Outstanding work! This game sets new standards!
2010,Excellent,200,33.3,Excellent game that will be highly praised!
2010,Notable,185,30.8,A notable release that will get attention!
2010,Good,170,28.3,A good solid game that players will enjoy!
2010,Fun,155,25.8,A fun game that will find its audience!
2010,Decent,140,23.3,A decent effort with some good moments.
2010,Meh,125,20.8,Meh... It's playable but forgettable.
2010,Poor,0,0.0,Poor execution. Back to the drawing board.
2012,Masterpiece,250,41.7,An absolute masterpiece! This game will be remembered for decades!
2012,Legendary,235,39.2,A legendary achievement in game development!
2012,Outstanding,220,36.7,Outstanding work! This game sets new standards!
2012,Excellent,205,34.2,Excellent game that will be highly praised!
2012,Notable,190,31.7,A notable release that will get attention!
2012,Good,175,29.2,A good solid game that players will enjoy!
2012,Fun,160,26.7,A fun game that will find its audience!
2012,Decent,145,24.2,A decent effort with some good moments.
2012,Meh,130,21.7,Meh... It's playable but forgettable.
2012,Poor,0,0.0,Poor execution. Back to the drawing board.
2014,Masterpiece,255,42.5,An absolute masterpiece! This game will be remembered for decades!
2014,Legendary,240,40.0,A legendary achievement in game development!
2014,Outstanding,225,37.5,Outstanding work! This game sets new standards!
2014,Excellent,210,35.0,Excellent game that will be highly praised!
2014,Notable,195,32.5,A notable release that will get attention!
2014,Good,180,30.0,A good solid game that players will enjoy!
2014,Fun,165,27.5,A fun game that will find its audience!
2014,Decent,150,25.0,A decent effort with some good moments.
2014,Meh,135,22.5,Meh... It's playable but forgettable.
2014,Poor,0,0.0,Poor execution. Back to the drawing board.
2016,Masterpiece,260,43.3,An absolute masterpiece! This game will be remembered for decades!
2016,Legendary,245,40.8,A legendary achievement in game development!
2016,Outstanding,230,38.3,Outstanding work! This game sets new standards!
2016,Excellent,215,35.8,Excellent game that will be highly praised!
2016,Notable,200,33.3,A notable release that will get attention!
2016,Good,185,30.8,A good solid game that players will enjoy!
2016,Fun,170,28.3,A fun game that will find its audience!
2016,Decent,155,25.8,A decent effort with some good moments.
2016,Meh,140,23.3,Meh... It's playable but forgettable.
2016,Poor,0,0.0,Poor execution. Back to the drawing board.
2018,Masterpiece,265,44.2,An absolute masterpiece! This game will be remembered for decades!
2018,Legendary,250,41.7,A legendary achievement in game development!
2018,Outstanding,235,39.2,Outstanding work! This game sets new standards!
2018,Excellent,220,36.7,Excellent game that will be highly praised!
2018,Notable,205,34.2,A notable release that will get attention!
2018,Good,190,31.7,A good solid game that players will enjoy!
2018,Fun,175,29.2,A fun game that will find its audience!
2018,Decent,160,26.7,A decent effort with some good moments.
2018,Meh,145,24.2,Meh... It's playable but forgettable.
2018,Poor,0,0.0,Poor execution. Back to the drawing board.
2020,Masterpiece,270,45.0,An absolute masterpiece! This game will be remembered for decades!
2020,Legendary,255,42.5,A legendary achievement in game development!
2020,Outstanding,240,40.0,Outstanding work! This game sets new standards!
2020,Excellent,225,37.5,Excellent game that will be highly praised!
2020,Notable,210,35.0,A notable release that will get attention!
2020,Good,195,32.5,A good solid game that players will enjoy!
2020,Fun,180,30.0,A fun game that will find its audience!
2020,Decent,165,27.5,A decent effort with some good moments.
2020,Meh,150,25.0,Meh... It's playable but forgettable.
2020,Poor,0,0.0,Poor execution. Back to the drawing board.
2022,Masterpiece,275,45.8,An absolute masterpiece! This game will be remembered for decades!
2022,Legendary,260,43.3,A legendary achievement in game development!
2022,Outstanding,245,40.8,Outstanding work! This game sets new standards!
2022,Excellent,230,38.3,Excellent game that will be highly praised!
2022,Notable,215,35.8,A notable release that will get attention!
2022,Good,200,33.3,A good solid game that players will enjoy!
2022,Fun,185,30.8,A fun game that will find its audience!
2022,Decent,170,28.3,A decent effort with some good moments.
2022,Meh,155,25.8,Meh... It's playable but forgettable.
2022,Poor,0,0.0,Poor execution. Back to the drawing board.
2024,Masterpiece,280,46.7,An absolute masterpiece! This game will be remembered for decades!
2024,Legendary,265,44.2,A legendary achievement in game development!
2024,Outstanding,250,41.7,Outstanding work! This game sets new standards!
2024,Excellent,235,39.2,Excellent game that will be highly praised!
2024,Notable,220,36.7,A notable release that will get attention!
2024,Good,205,34.2,A good solid game that players will enjoy!
2024,Fun,190,31.7,A fun game that will find its audience!
2024,Decent,175,29.2,A decent effort with some good moments.
2024,Meh,160,26.7,Meh... It's playable but forgettable.
2024,Poor,0,0.0,Poor execution. Back to the drawing board.
